phase,status,start_time,end_time,duration_s,chat_time_s,llm_calls,prompt_tokens,completion_tokens,total_tokens
doc_analysis,completed,2026-08-12T19:20:52,2026-08-12T19:24:21,209.279090,899.358779,22,12468,85812,98280
model_learning,completed,2026-08-12T19:24:22,2026-08-12T21:44:56,8434.779026,1027.458285,37,86176,96125,182301
